0, 71.99746167788993
1, 142.05153584263587
2, 206.27843920410893
3, 261.49314162632993
4, 321.08748508165394
5, 364.231633925265
6, 384.2940097456499
7, 426.2859227061903
8, 444.7854350433295
9, 486.9101595229488
10, 531.2205563531327
11, 578.3357025265061
12, 629.6390546838824
13, 682.9316322497787
14, 703.1930781267989
15, 746.6906287980512
16, 760.2291057090897
17, 801.9340279388723
18, 820.4036662540113
19, 829.634132396601
20, 833.5844912872062
21, 835.0959170564873
22, 883.4097347555496
23, 931.2900758961146
24, 955.9227916604708
25, 964.5527470176924
26, 1002.836579840647
27, 1023.6751488854248
28, 1011.5982981822663
29, 995.1570323661679
30, 1022.7129352000095
31, 1052.7254119459503
32, 1063.222791746221
33, 1071.1788902402614
34, 1084.8385407095282
35, 1091.2629685148736
36, 1091.6447550564258
37, 1095.2935080490327
38, 1086.7412096105222
39, 1088.64035617479
40, 1094.326242975229
41, 1108.9298638610444
42, 1131.9846497786468
43, 1158.0247315608476
44, 1175.0183698375777
45, 1162.6011375963299
46, 1161.2859985916475
47, 1166.9527769615531
48, 1157.3296763400429
49, 1169.7557677787931
50, 1162.9058755722149
51, 1139.4882874485413
52, 1147.644226395996
53, 1157.646658432959
54, 1162.843272146732
55, 1158.6915632182247
56, 1158.644701932896
57, 1168.3307789048245
58, 1167.260174345858
59, 1174.7944378646428
60, 1204.679171665195
61, 1207.9944272317632
62, 1203.8235675004207
63, 1188.4739199693947
64, 1208.1033849977446
65, 1210.702812492401
66, 1209.596874594213
67, 1214.258277099302
68, 1220.6031205797958
69, 1210.2926206111495
70, 1228.5471250142036
71, 1240.4954350984642
72, 1238.2707708944822
73, 1236.1873141063095
74, 1244.4009011751866
75, 1268.5994289670346
76, 1263.2318828173502
77, 1248.2221154918984
78, 1232.3502043870144
79, 1250.1709262505406
80, 1262.8902412207472
81, 1245.675435437985
82, 1258.391477575475
83, 1271.3597614351431
84, 1236.390464102117
85, 1248.4360555715107
86, 1236.7796937501103
87, 1250.280541927766
88, 1252.2905677735496
89, 1250.0917626321368
90, 1246.3224203411567
91, 1228.251167103774
92, 1218.0925442565208
93, 1228.7324973767315
94, 1243.0179497741583
95, 1231.8966417290344
96, 1254.1915711089848
97, 1240.6886722683316
98, 1246.77451343522
99, 1248.2719000594748
100, 1215.5096085601708
101, 1212.4293785322507
