0, 10, 50, 50, 5, 50
1, 10, 0, 10, 98, 0
2, 10, 0, 0, 72, 33
3, 10, 0, 0, 47, 60
4, 11, 0, 0, 11, 54
5, 11, 3, 13, 76, 0
6, 11, 32, 45, 2, 4
7, 11, 31, 2, 35, 61
8, 11, 0, 0, 29, 84
9, 11, 0, 11, 2, 0
10, 11, 25, 45, 46, 0
11, 11, 33, 2, 6, 0
12, 11, 0, 0, 60, 87
13, 11, 0, 11, 93, 60
14, 11, 25, 45, 8, 6
15, 11, 33, 2, 28, 0
16, 12, 0, 0, 46, 57
17, 12, 0, 11, 97, 105
18, 12, 25, 45, 27, 45
19, 13, 33, 2, 78, 0
20, 12, 0, 0, 4, 9
21, 12, 0, 11, 88, 109
22, 12, 25, 45, 33, 124
23, 12, 33, 2, 84, 0
24, 12, 0, 0, 61, 0
25, 12, 0, 11, 24, 64
26, 11, 25, 45, 84, 148
27, 12, 33, 2, 68, 21
28, 12, 0, 0, 87, 0
29, 12, 0, 11, 40, 50
30, 12, 25, 45, 98, 188
31, 13, 33, 2, 85, 68
32, 13, 0, 0, 98, 0
33, 13, 0, 11, 43, 0
34, 13, 25, 45, 62, 205
35, 13, 33, 2, 27, 129
36, 12, 0, 0, 24, 0
37, 12, 0, 11, 96, 0
